id,name,host_id,host_name,neighbourhood,room_type,price,minimum_nights,availability_365
10080,D1 -  Million Dollar View 2 BR,30899,Rami,Downtown,Entire home/apt,150,90,345
13358,Monthly (or Longer ) Designer One Bedroom Downtown,52116,Lynn,West End,Entire home/apt,90,30,70
13490,Vancouver's best kept secret,52467,Iris,Kensington-Cedar Cottage,Entire home/apt,145,30,291
14267,EcoLoft Vancouver,56030,Peter & Alison,Kensington-Cedar Cottage,Entire home/apt,199,3,0
16254,Close to PNE/Hastings Park and East Village,63238,Jason,Hastings-Sunrise,Entire home/apt,195,3,228
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,Grandview-Woodland,Entire home/apt,245,30,89
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,Renfrew-Collingwood,Entire home/apt,130,4,0
17765,"Central location, nice little apartment",68672,James,Mount Pleasant,Entire home/apt,94,3,0
18589,Commercial Drive B&B,71508,Sylvain & Alexis,Grandview-Woodland,Private room,79,1,194
18773,"Comfort Suite on Kits Beach + Netflix, and Youtube",72055,Dean,Kitsilano,Entire home/apt,186,2,25
18795,*Best choice in downtown-5 Stars * -2,70137,Kai,West End,Private room,50,30,325
19527,Spacious Apartment near Granville Island and VGH,74129,Bevin,Fairview,Entire home/apt,128,30,334
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,Kensington-Cedar Cottage,Entire home/apt,69,30,339
21912,PRIVATE ROOM + BATH + KING BED + SEPARATE ENTRY,83871,Adam,Renfrew-Collingwood,Private room,53,2,337
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,Renfrew-Collingwood,Entire home/apt,80,28,318
22128,"Big+Sunny 1-BR-SUITE**15 min to UBC, 10 Kits Beach",84820,Chris,Marpole,Private room,150,30,365
24273,Walker's paradise in Kitsilano,1267409,Cormac,Kitsilano,Entire home/apt,200,30,223
26047,The Alpha Downtown Accommodation by COMFYSUITES,109845,Alicia,Downtown,Entire home/apt,159,30,206
33150,“Suite on Main”  near  Q.E Park,143724,Ili,Riley Park,Entire home/apt,75,4,230
35102,Downtown Yaletown Trendy 2 Bd/2Bth,2283739,Karina,Downtown,Entire home/apt,180,30,20
35304,"LOCATION, LOCATION, LOCATION- Cozy&Clean Lg. Space",151996,Howie And Lisa,Grandview-Woodland,Private room,79,2,359
42645,The Charlie by COMFYSUITES,109845,Alicia,Downtown,Entire home/apt,159,32,333
48146,Executive Furnished Apartment (2 months minimum),219431,Damien,Renfrew-Collingwood,Entire home/apt,100,60,0
49736,Boutique Studio Apartment in Kits!,227101,Sarah,Kitsilano,Entire home/apt,1950,31,0
54261,Yaletown 1 Bedroom Condo,254337,Edgar,Downtown,Entire home/apt,126,90,365
70453,"Open-concept, Modern Heritage Home with over 20 Skylights",56709,Samantha Jo,Downtown Eastside,Entire home/apt,200,3,0
72659,Central Convenient Vibrant Neighbourhood!,375168,Donna,Grandview-Woodland,Entire home/apt,210,7,40
73841,Amazing Downtown Vancouver Condo!,386761,Ying Ying,Downtown,Entire home/apt,121,30,224
77157,Room with a Garden View!,412802,Anne,Arbutus Ridge,Private room,75,3,267
98242,"Studio, private patio, WIFI/Cbl, pets & long term!",31065,Mj,Sunset,Entire home/apt,110,30,313
98830,Your Downtown Executive Suite,520997,Cristina,Downtown,Entire home/apt,110,30,0
102268,Cozy and large studio,514310,Bibi,Riley Park,Entire home/apt,75,30,283
111077,"Clean and Comfy, 2 Bd, Walk to the Drive",569682,Kristina,Grandview-Woodland,Entire home/apt,125,3,339
125176,Main Street Vineyard,622926,Mark,Riley Park,Private room,75,2,268
129163,"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",597619,Rozsa,Renfrew-Collingwood,Private room,45,30,365
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,Renfrew-Collingwood,Private room,40,30,220
140698,"1905 Heritage Loft, Main/Broadway, Olympic Village",69640,Stephen,Mount Pleasant,Entire home/apt,95,6,321
170137,Family friendly Point Grey Home,381497,Catherine,West Point Grey,Entire home/apt,150,4,276
172827,Charming and Homely Downtown Penthouse,19982,Fernande,West End,Entire home/apt,300,3,0
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Hollie,Downtown Eastside,Entire home/apt,100,30,224
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,Kitsilano,Entire home/apt,131,30,0
200643,This is the door to Vancouver USW,981145,Dianne,Downtown Eastside,Private room,87,1,365
219261,A Real Gem in the Heart of Kits,1135259,Rami,Kitsilano,Entire home/apt,135,3,287
226757,"Amazing views, Cultural heart of Vancouver-Robson3",560892,Vancouver Furnished,Downtown,Entire home/apt,105,30,365
248014,"Stunning views, comfort, location!!",1299977,Gabriella,Grandview-Woodland,Entire home/apt,100,31,113
254657,Heritage Loft in heart of Gastown,241920,Scott,Downtown Eastside,Entire home/apt,198,2,0
